2022-04-01 11:29:46 strips_hgn.utils.logging_setup INFO     Writing logs to /home/ubuntu/STRIPS-HGN/results/train-strips-hgn-2022-04-01T11:29:46.344012/strips_hgn.log
2022-04-01 11:29:46 strips_hgn.utils.helpers INFO     Experiment results directory: /home/ubuntu/STRIPS-HGN/results/train-strips-hgn-2022-04-01T11:29:46.344012
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/domain.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/training_sets/task_0.problem.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    8 Objects parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-rand-8
2022-04-01 11:29:46 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-rand-8
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    89 Variables created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    144 Operators created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/domain.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/training_sets/task_1.problem.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    3 Objects parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-rand-3
2022-04-01 11:29:46 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-rand-3
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    19 Variables created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    24 Operators created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/domain.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/training_sets/task_2.problem.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    5 Objects parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-rand-5
2022-04-01 11:29:46 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-rand-5
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    41 Variables created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    60 Operators created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/domain.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/training_sets/task_3.problem.pddl
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    6 Objects parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-rand-6
2022-04-01 11:29:46 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-rand-6
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    55 Variables created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    84 Operators created
2022-04-01 11:29:46 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain /home/ubuntu/STRIPS-HGN/benchmarks/blocks-slaney/domain.pddl
